timestamp,error_m
1.780398103043995380e+09,2.897051940020560679e+01
1.780398103144279480e+09,2.906901656299828218e+01
1.780398103244467258e+09,2.917803796823994844e+01
1.780398103344466448e+09,2.926772445493453390e+01
1.780398103444396734e+09,2.937919868809468937e+01
1.780398103544378519e+09,2.948182155846486197e+01
1.780398103644206524e+09,2.960011510496319076e+01
1.780398103743892670e+09,2.969917415126915117e+01
1.780398103843680620e+09,2.982748073086536067e+01
1.780398103943660975e+09,2.993945854336556778e+01
1.780398104043684244e+09,3.008000743781139974e+01
1.780398104143864393e+09,3.017851182152212530e+01
1.780398104244216919e+09,3.030490759671319623e+01
1.780398104344553947e+09,3.039180278235442856e+01
1.780398104444755316e+09,3.053450498473943142e+01
1.780398104544868946e+09,3.063922959693410064e+01
1.780398104644833565e+09,3.078420236551382771e+01
1.780398104744649649e+09,3.089313586134639067e+01
1.780398104844570398e+09,3.103490780008938188e+01
1.780398104944456100e+09,3.113741745584952625e+01
1.780398105044503689e+09,3.128548176654796720e+01
1.780398105144506216e+09,3.138258843510346452e+01
1.780398105244643927e+09,3.150230472981184349e+01
1.780398105344826460e+09,3.157917164242369523e+01
1.780398105444989443e+09,3.167425972643104970e+01
1.780398105544987679e+09,3.174965890345807296e+01
1.780398105644942284e+09,3.185276689680089390e+01
1.780398105744804144e+09,3.195050113108114331e+01
1.780398105844617128e+09,3.205452684507351080e+01
1.780398105944437742e+09,3.214325454689505079e+01
1.780398106044264793e+09,3.224042528938142738e+01
1.780398106143994331e+09,3.231049856648221663e+01
1.780398106243863583e+09,3.239336074387682629e+01
1.780398106343940973e+09,3.246664410826973324e+01
1.780398106444013596e+09,3.255648684299424644e+01
1.780398106544118881e+09,3.263771267459615899e+01
1.780398106644180536e+09,3.273987138928109886e+01
1.780398106744150639e+09,3.281141598111987179e+01
1.780398106844022751e+09,3.290162005031172754e+01
1.780398106943820238e+09,3.297217481614679002e+01
1.780398107043668985e+09,3.308909757616142144e+01
1.780398107143688202e+09,3.318986342598721251e+01
1.780398107243744612e+09,3.330812315725741968e+01
1.780398107343868256e+09,3.340356483197734860e+01
1.780398107444037437e+09,3.351287430889459529e+01
1.780398107544225454e+09,3.360626183300234260e+01
1.780398107644424677e+09,3.373030864520148242e+01
1.780398107744657040e+09,3.381657679688252216e+01
1.780398107844823360e+09,3.390792832949799163e+01
1.780398107945022821e+09,3.398266267430095411e+01
1.780398108045105696e+09,3.407732931800538267e+01
1.780398108144871473e+09,3.416910389997998010e+01
1.780398108244465590e+09,3.430018779135732387e+01
1.780398108344076872e+09,3.441074787541995050e+01
1.780398108443727016e+09,3.453345448545969276e+01
1.780398108543593884e+09,3.464626344843509287e+01
