timestamp,est_x,est_y,est_z,gt_x,gt_y,gt_z
1.780397399510272503e+09,-1.093903091632503219e+02,-1.089701789749892100e+02,-3.682163217719345738e+01,-7.334408420147412455e-01,-1.230070224791564026e+00,5.367800000000144678e-02
1.780397399610374689e+09,-1.093893215982874523e+02,-1.089700655082084495e+02,-3.682263322351296608e+01,-7.334408420147412455e-01,-1.230070224791564026e+00,5.367800000000144678e-02
1.780397399710492134e+09,-1.093880928188522716e+02,-1.089700007726697635e+02,-3.682459229584693361e+01,-8.124386666506260291e-01,-1.331714508194747015e+00,5.434200000000188879e-02
1.780397399810635567e+09,-1.093857121080499297e+02,-1.089699374033531285e+02,-3.682963926022220136e+01,-8.124386666506260291e-01,-1.331714508194747015e+00,5.434200000000188879e-02
1.780397399910855532e+09,-1.093850283498826883e+02,-1.089699614532103311e+02,-3.683011170214783903e+01,-8.779919749667983719e-01,-1.431630688572595789e+00,6.016200000000182513e-02
1.780397400111113071e+09,-1.093840978005333966e+02,-1.089702260614748468e+02,-3.683053684962212060e+01,-9.253089758110787377e-01,-1.511471625608375113e+00,5.582599999999970919e-02
1.780397400211056948e+09,-1.093838131914710061e+02,-1.089703823105919867e+02,-3.683048511090353827e+01,-9.253089758110787377e-01,-1.511471625608375113e+00,5.582599999999970919e-02
1.780397400310921192e+09,-1.093837282591542959e+02,-1.089705577293310483e+02,-3.683029599779568031e+01,-9.749605247771608862e-01,-1.608248395779315443e+00,4.816600000000192949e-02
1.780397400410765886e+09,-1.093836727001317257e+02,-1.089708573053988232e+02,-3.683000327886116310e+01,-9.749605247771608862e-01,-1.608248395779315443e+00,4.816600000000192949e-02
1.780397400510685205e+09,-1.093836802464418128e+02,-1.089711930429760258e+02,-3.682956739546796854e+01,-1.036161996957918330e+00,-1.707186305648846547e+00,4.957500000000081286e-02
1.780397400610600233e+09,-1.093834787253715035e+02,-1.089714063631253396e+02,-3.682988133458964342e+01,-1.036161996957918330e+00,-1.707186305648846547e+00,4.957500000000081286e-02
1.780397400710476875e+09,-1.093837805794569675e+02,-1.089716851168070662e+02,-3.682935593712484490e+01,-1.107820978906769005e+00,-1.814537812782046178e+00,6.076000000000192358e-02
1.780397400810323238e+09,-1.093838126200582650e+02,-1.089718740233333421e+02,-3.682974851415448114e+01,-1.107820978906769005e+00,-1.814537812782046178e+00,6.076000000000192358e-02
1.780397400910165071e+09,-1.093838480227538099e+02,-1.089720395136400128e+02,-3.683014695437276487e+01,-1.183149761195792626e+00,-1.947532927533635716e+00,7.537600000000210798e-02
1.780397401010026693e+09,-1.093839321333133654e+02,-1.089721005026261338e+02,-3.683054526048286448e+01,-1.183149761195792626e+00,-1.947532927533635716e+00,7.537600000000210798e-02
1.780397401109951019e+09,-1.093838917007430354e+02,-1.089719999394414174e+02,-3.683090020872293735e+01,-1.258453262857250010e+00,-2.087876147333904697e+00,8.317900000000122418e-02
1.780397401209934950e+09,-1.093837080645018602e+02,-1.089718271590902958e+02,-3.683120030817511292e+01,-1.258453262857250010e+00,-2.087876147333904697e+00,8.317900000000122418e-02
1.780397401310018539e+09,-1.093833405175255251e+02,-1.089714548669480649e+02,-3.683141351178908707e+01,-1.329212434022370992e+00,-2.233763768847501385e+00,1.025750000000016371e-01
1.780397401410100222e+09,-1.093829162220160924e+02,-1.089709874234035567e+02,-3.683156219552520128e+01,-1.329212434022370992e+00,-2.233763768847501385e+00,1.025750000000016371e-01
1.780397401510240316e+09,-1.093823398580106812e+02,-1.089705044250178787e+02,-3.683168530154743081e+01,-1.387743361138136899e+00,-2.373976190456569491e+00,1.123410000000006903e-01
1.780397401610393524e+09,-1.093817864513099778e+02,-1.089700678562688267e+02,-3.683177293573569955e+01,-1.387743361138136899e+00,-2.373976190456569491e+00,1.123410000000006903e-01
1.780397401710584402e+09,-1.093813868837667940e+02,-1.089697382371686416e+02,-3.683185905790027448e+01,-1.449849380779512975e+00,-2.508783593634002607e+00,1.140569999999989648e-01
1.780397401810760736e+09,-1.093812655604701689e+02,-1.089695777971417385e+02,-3.683193956041863970e+01,-1.449849380779512975e+00,-2.508783593634002607e+00,1.140569999999989648e-01
1.780397401910824537e+09,-1.093813644197441732e+02,-1.089695895354639106e+02,-3.683212265071257718e+01,-1.516078438691078611e+00,-2.648850405281998110e+00,1.061870000000020298e-01
1.780397402010703802e+09,-1.093816940729828815e+02,-1.089698004592919460e+02,-3.683244989814340187e+01,-1.516078438691078611e+00,-2.648850405281998110e+00,1.061870000000020298e-01
1.780397402110559464e+09,-1.093801986715256476e+02,-1.089700161722959990e+02,-3.683821312114633884e+01,-1.580982597495908193e+00,-2.774913171655023714e+00,1.109960000000000946e-01
1.780397402210397005e+09,-1.093809475158221147e+02,-1.089706245256476791e+02,-3.683802579143928568e+01,-1.580982597495908193e+00,-2.774913171655023714e+00,1.109960000000000946e-01
1.780397402310162783e+09,-1.093816333130572929e+02,-1.089711783776500482e+02,-3.683769361812351661e+01,-1.649738846459771313e+00,-2.907770660279463293e+00,1.185200000000001808e-01
1.780397402409896612e+09,-1.093816475115767588e+02,-1.089717879933341464e+02,-3.683881163740767306e+01,-1.649738846459771313e+00,-2.907770660279463293e+00,1.185200000000001808e-01
1.780397402509675503e+09,-1.093820458980563188e+02,-1.089722017225292490e+02,-3.683841126837036484e+01,-1.711052024328905352e+00,-3.050587489103077310e+00,1.078749999999999432e-01
1.780397402609497070e+09,-1.093821825066993654e+02,-1.089722846000861125e+02,-3.683798699205802762e+01,-1.711052024328905352e+00,-3.050587489103077310e+00,1.078749999999999432e-01
1.780397402709562778e+09,-1.093819930806236016e+02,-1.089721029318163801e+02,-3.683733851969809336e+01,-1.772256649766649428e+00,-3.187717298313553549e+00,1.024169999999990921e-01
1.780397402809813499e+09,-1.093815894040144485e+02,-1.089717410447759960e+02,-3.683658128197767923e+01,-1.772256649766649428e+00,-3.187717298313553549e+00,1.024169999999990921e-01
1.780397402910191536e+09,-1.093811533452492313e+02,-1.089714230335210061e+02,-3.683581402869813104e+01,-1.835845504823470531e+00,-3.321892302045464263e+00,1.026220000000002130e-01
1.780397403010632277e+09,-1.093807301341868055e+02,-1.089711400442232332e+02,-3.683495687325482493e+01,-1.835845504823470531e+00,-3.321892302045464263e+00,1.026220000000002130e-01
1.780397403111002922e+09,-1.093805249583234200e+02,-1.089709500331443195e+02,-3.683414954453926526e+01,-1.897547724382811163e+00,-3.464598236561516664e+00,1.090850000000003206e-01
1.780397403211124182e+09,-1.093807032941957829e+02,-1.089708951572589655e+02,-3.683332157053373379e+01,-1.897547724382811163e+00,-3.464598236561516664e+00,1.090850000000003206e-01
1.780397403310970783e+09,-1.093811109833137749e+02,-1.089709576349171556e+02,-3.683324453076936322e+01,-1.962227666458018494e+00,-3.606684681661369130e+00,1.108890000000002374e-01
1.780397403410681009e+09,-1.093818061207873598e+02,-1.089713273257758317e+02,-3.683325555627803993e+01,-1.962227666458018494e+00,-3.606684681661369130e+00,1.108890000000002374e-01
1.780397403510314465e+09,-1.093827654189249614e+02,-1.089717696132364182e+02,-3.683341766082885016e+01,-2.037301273892531128e+00,-3.745966712853119329e+00,1.181599999999995987e-01
1.780397403609961510e+09,-1.093836145234903654e+02,-1.089722194789427334e+02,-3.683357804874392372e+01,-2.037301273892531128e+00,-3.745966712853119329e+00,1.181599999999995987e-01
1.780397403709588051e+09,-1.093843042023106591e+02,-1.089726560350745928e+02,-3.683369056926896690e+01,-2.106059857418098868e+00,-3.869391902559274676e+00,1.400790000000000646e-01
1.780397403809501648e+09,-1.093846841853157201e+02,-1.089729015616391479e+02,-3.683376744983847573e+01,-2.106059857418098868e+00,-3.869391902559274676e+00,1.400790000000000646e-01
1.780397403909569979e+09,-1.093849648584795773e+02,-1.089728879618766655e+02,-3.683398506100903091e+01,-2.180773939825860097e+00,-3.988317701329509024e+00,1.434490000000003818e-01
1.780397404009766102e+09,-1.093850738853032567e+02,-1.089725935663747407e+02,-3.683415046790177882e+01,-2.180773939825860097e+00,-3.988317701329509024e+00,1.434490000000003818e-01
1.780397404109987736e+09,-1.093850893579954544e+02,-1.089720761104578202e+02,-3.683424344085397450e+01,-2.262900033873242567e+00,-4.111315457662771955e+00,1.328770000000005780e-01
1.780397404210216522e+09,-1.093849428733066418e+02,-1.089715464281273540e+02,-3.683444884743792613e+01,-2.262900033873242567e+00,-4.111315457662771955e+00,1.328770000000005780e-01
1.780397404310277700e+09,-1.093848758926760070e+02,-1.089711994973451681e+02,-3.683480111101467003e+01,-2.338833480745771798e+00,-4.227881699696856010e+00,1.171870000000012624e-01
1.780397404410266161e+09,-1.093847037794416934e+02,-1.089709011885206849e+02,-3.683517691266422389e+01,-2.338833480745771798e+00,-4.227881699696856010e+00,1.171870000000012624e-01
1.780397404510205507e+09,-1.093846705492585443e+02,-1.089706438177978782e+02,-3.683550507431031917e+01,-2.410147581026461872e+00,-4.346216063476910030e+00,1.185779999999994061e-01
1.780397404610275745e+09,-1.093845637221047582e+02,-1.089704629387725134e+02,-3.683562269972168224e+01,-2.410147581026461872e+00,-4.346216063476910030e+00,1.185779999999994061e-01
1.780397404710377693e+09,-1.093841917956174541e+02,-1.089703161342030171e+02,-3.683653633975277586e+01,-2.492406939697916712e+00,-4.473050812469280935e+00,1.215520000000012146e-01
1.780397404810528278e+09,-1.093824832133279443e+02,-1.089702113318708854e+02,-3.684120859948775717e+01,-2.492406939697916712e+00,-4.473050812469280935e+00,1.215520000000012146e-01
1.780397404910651922e+09,-1.093825429922956971e+02,-1.089703362580538055e+02,-3.684125896737273109e+01,-2.568686750448491818e+00,-4.595375717668450655e+00,1.166090000000004068e-01
1.780397405010656357e+09,-1.093827723594606027e+02,-1.089704073320510815e+02,-3.684136081132478324e+01,-2.568686750448491818e+00,-4.595375717668450655e+00,1.166090000000004068e-01
1.780397405110606432e+09,-1.093830023988910227e+02,-1.089706338169639395e+02,-3.684144847799294809e+01,-2.643857521903616004e+00,-4.713736012119395191e+00,1.170480000000004850e-01
