timestamp,error_m
1.780397862742534637e+09,9.961303893492018346e+01
1.780397862842533827e+09,9.963809672795075301e+01
1.780397862942496777e+09,9.965606280031614972e+01
1.780397863042545557e+09,9.967857691204727644e+01
1.780397863142567635e+09,9.970969928069048649e+01
1.780397863242581606e+09,9.976072582577393177e+01
1.780397863342547417e+09,9.980162756534579671e+01
1.780397863442637205e+09,9.985086471163739930e+01
1.780397863542641163e+09,9.988385938204928038e+01
1.780397863642777920e+09,9.993096980716330791e+01
1.780397863743019581e+09,9.996558557615462348e+01
1.780397863843230724e+09,9.999954539302936496e+01
1.780397863943344116e+09,1.000065339785985685e+02
1.780397864043253422e+09,1.000115794204232174e+02
1.780397864143084049e+09,1.000224356313122769e+02
1.780397864242954731e+09,1.000538496401958781e+02
1.780397864342903376e+09,1.001031383810417736e+02
1.780397864442920446e+09,1.001632730623177423e+02
1.780397864542947054e+09,1.002144451463598926e+02
1.780397864642931700e+09,1.002610533319263055e+02
1.780397864743042231e+09,1.003036745728707047e+02
1.780397864843069553e+09,1.003495393630763601e+02
1.780397864943042040e+09,9.995807791989201974e+01
1.780397865043064594e+09,1.000079295571987359e+02
1.780397865143228769e+09,1.000427495778431677e+02
1.780397865243423223e+09,1.000879816107898392e+02
1.780397865343362331e+09,1.001250541061651660e+02
1.780397865443192244e+09,1.001655372445026586e+02
1.780397865543007851e+09,1.002092408905302676e+02
1.780397865642880201e+09,1.002506929770435704e+02
1.780397865742704391e+09,1.002889613613418192e+02
1.780397865842558384e+09,1.003184167092586705e+02
1.780397865942413330e+09,1.003343302075470262e+02
1.780397866042327404e+09,1.003501846189534632e+02
1.780397866142459869e+09,1.003553550332680260e+02
1.780397866242604733e+09,1.003630144292459931e+02
1.780397866342753172e+09,1.003482102049707549e+02
1.780397866443035603e+09,1.003176987319536266e+02
1.780397866543213606e+09,1.002673381435209166e+02
1.780397866643096685e+09,1.002248252878587209e+02
1.780397866742972851e+09,1.001693347398052225e+02
1.780397866842894554e+09,1.001051678995506080e+02
1.780397866942960501e+09,1.000116545329788664e+02
1.780397867042976856e+09,9.990629020656692205e+01
1.780397867142833948e+09,1.004904727590142102e+02
1.780397867242676020e+09,1.003654061534221995e+02
1.780397867342604399e+09,1.002184256968555758e+02
1.780397867442726374e+09,1.000799899944602771e+02
1.780397867542765617e+09,9.991887353163234309e+01
1.780397867642784834e+09,9.975955917918892624e+01
1.780397867742706776e+09,9.957908699157664500e+01
1.780397867842544079e+09,9.942220956120418407e+01
1.780397867942416906e+09,9.928633783145600944e+01
1.780397868042260885e+09,9.920254924483099046e+01
1.780397868142133951e+09,9.913673424480047913e+01
1.780397868242406368e+09,9.911052381655899524e+01
1.780397868343229532e+09,9.909209806814099863e+01
1.780397868444064856e+09,9.908883815448510290e+01
1.780397868544540644e+09,9.905981153729308630e+01
1.780397868644763708e+09,9.897535524205862600e+01
1.780397868744709015e+09,9.894842701661576712e+01
1.780397868844365835e+09,9.897546741489443889e+01
1.780397868944277048e+09,9.901205872135579966e+01
1.780397869044417381e+09,9.908346292038746128e+01
1.780397869144319296e+09,9.914064394375994027e+01
1.780397869244010448e+09,9.922677742856997440e+01
1.780397869343315363e+09,9.930300830382724087e+01
1.780397869442510605e+09,9.938870017943567348e+01
1.780397869542065144e+09,9.947517574801047147e+01
1.780397869641842127e+09,9.955888524842892195e+01
1.780397869741762638e+09,9.964549765684445504e+01
1.780397869841829777e+09,9.972192536924832496e+01
1.780397869941933632e+09,9.978784823656576464e+01
1.780397870042227268e+09,9.984439945988029308e+01
1.780397870142418385e+09,1.003218821246472885e+02
1.780397870242977858e+09,1.003631129242350113e+02
1.780397870343584776e+09,1.003779049697221382e+02
1.780397870444016695e+09,1.003962986940096016e+02
1.780397870544180155e+09,1.004092679008304145e+02
1.780397870644191265e+09,1.004245071513206682e+02
1.780397870743943691e+09,1.004427698275293750e+02
1.780397870843559027e+09,1.004666588867841597e+02
1.780397870943218231e+09,1.004845702628107347e+02
1.780397871042908430e+09,1.005050162811075722e+02
1.780397871142707109e+09,1.005140804963270398e+02
1.780397871242748976e+09,1.005383186603043555e+02
1.780397871342886686e+09,1.005667885921945555e+02
1.780397871443094254e+09,1.006060649295620522e+02
1.780397871543440819e+09,1.006523395401491570e+02
1.780397871643640518e+09,1.006871428728242392e+02
1.780397871743627310e+09,1.007159830418612216e+02
1.780397871843386889e+09,1.007627404786708212e+02
1.780397871943158865e+09,1.008227674594928089e+02
1.780397872042912483e+09,1.008845061079453700e+02
1.780397872142689705e+09,1.008958103960435437e+02
1.780397872242462158e+09,1.009525653832857870e+02
1.780397872342300415e+09,1.010133161284946794e+02
